Timestamp: 12-dic-2016 20.07.08
A_identical_or_random: 0
A_size_of: 2
C_identical_or_random: 0
C_links_between_species: 2
C_neighbours_or_random: 1
Collect_data: 2
Data_collection_file_name: NKCoutput.txt
Fitness_method: 0
Fitness_method_averaging_weightings: 0
Fitness_range_dp: 2
Fitness_threshold: 0.0
K_identical_or_random: 0
K_neighbours_or_random: 0
K_size_of: 2
N_size_of: 10
Next_neighbour_method: 0
Organization_walk_order: 0
Organization_walk_type: 0
Organizations_no_of: 1
S_species: 5
Simulation_halt: 500
Stop_simulation_early: 1
X_identical_or_random: 0
X_neighbours_or_random: 0
X_species: 2
Xml_file: default_xml_file.xml


"tick","Average Fitness 0","Maximum Fitness 0","Minimum Fitness 0","Average Wait Before Move 0","Maximum Wait Before Move 0","Minimum Wait Before Move 0","Average Number of Fitter Neighbours 0","Maximum Number of Fitter Neighbours 0","Minimum Number of Fitter Neighbours 0","Average Fitness 1","Maximum Fitness 1","Minimum Fitness 1","Average Wait Before Move 1","Maximum Wait Before Move 1","Minimum Wait Before Move 1","Average Number of Fitter Neighbours 1","Maximum Number of Fitter Neighbours 1","Minimum Number of Fitter Neighbours 1","Average Fitness 2","Maximum Fitness 2","Minimum Fitness 2","Average Wait Before Move 2","Maximum Wait Before Move 2","Minimum Wait Before Move 2","Average Number of Fitter Neighbours 2","Maximum Number of Fitter Neighbours 2","Minimum Number of Fitter Neighbours 2","Average Fitness 3","Maximum Fitness 3","Minimum Fitness 3","Average Wait Before Move 3","Maximum Wait Before Move 3","Minimum Wait Before Move 3","Average Number of Fitter Neighbours 3","Maximum Number of Fitter Neighbours 3","Minimum Number of Fitter Neighbours 3","Average Fitness 4","Maximum Fitness 4","Minimum Fitness 4","Average Wait Before Move 4","Maximum Wait Before Move 4","Minimum Wait Before Move 4","Average Number of Fitter Neighbours 4","Maximum Number of Fitter Neighbours 4","Minimum Number of Fitter Neighbours 4","Fraction Still Walking"
1.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,0.0,0.0,0.0,4.0,4.0,4.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,0.0,0.0,0.0,4.0,4.0,4.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,0.0,0.0,0.0,4.0,4.0,4.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,0.0,0.0,0.0,4.0,4.0,4.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,0.0,0.0,0.0,4.0,4.0,4.0,100.0
2.0,0.5849999959468842,0.5849999959468842,0.5849999959468842,2.0,2.0,2.0,3.0,3.0,3.0,0.5849999959468842,0.5849999959468842,0.5849999959468842,2.0,2.0,2.0,3.0,3.0,3.0,0.6029999962449074,0.6029999962449074,0.6029999962449074,2.0,2.0,2.0,4.0,4.0,4.0,0.6309999980032444,0.6309999980032444,0.6309999980032444,2.0,2.0,2.0,4.0,4.0,4.0,0.6469999969005584,0.6469999969005584,0.6469999969005584,0.0,0.0,0.0,3.0,3.0,3.0,100.0
3.0,0.5849999959468842,0.5849999959468842,0.5849999959468842,2.0,2.0,2.0,3.0,3.0,3.0,0.5849999959468842,0.5849999959468842,0.5849999959468842,2.0,2.0,2.0,3.0,3.0,3.0,0.6029999962449074,0.6029999962449074,0.6029999962449074,2.0,2.0,2.0,4.0,4.0,4.0,0.6309999980032444,0.6309999980032444,0.6309999980032444,2.0,2.0,2.0,4.0,4.0,4.0,0.6469999969005584,0.6469999969005584,0.6469999969005584,0.0,0.0,0.0,3.0,3.0,3.0,100.0
4.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.6129999980330467,0.6129999980330467,0.6129999980330467,2.0,2.0,2.0,3.0,3.0,3.0,0.6799999997019768,0.6799999997019768,0.6799999997019768,2.0,2.0,2.0,3.0,3.0,3.0,0.690999998152256,0.690999998152256,0.690999998152256,2.0,2.0,2.0,3.0,3.0,3.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,0.0,0.0,0.0,4.0,4.0,4.0,100.0
5.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.6129999980330467,0.6129999980330467,0.6129999980330467,2.0,2.0,2.0,3.0,3.0,3.0,0.6799999997019768,0.6799999997019768,0.6799999997019768,2.0,2.0,2.0,3.0,3.0,3.0,0.690999998152256,0.690999998152256,0.690999998152256,2.0,2.0,2.0,3.0,3.0,3.0,0.6649999976158142,0.6649999976158142,0.6649999976158142,0.0,0.0,0.0,4.0,4.0,4.0,100.0
6.0,0.6279999934136867,0.6279999934136867,0.6279999934136867,2.0,2.0,2.0,5.0,5.0,5.0,0.6479999974370003,0.6479999974370003,0.6479999974370003,2.0,2.0,2.0,2.0,2.0,2.0,0.6799999997019768,0.6799999997019768,0.6799999997019768,2.0,2.0,2.0,3.0,3.0,3.0,0.6309999980032444,0.6309999980032444,0.6309999980032444,2.0,2.0,2.0,4.0,4.0,4.0,0.6469999969005584,0.6469999969005584,0.6469999969005584,0.0,0.0,0.0,3.0,3.0,3.0,100.0
7.0,0.6279999934136867,0.6279999934136867,0.6279999934136867,2.0,2.0,2.0,5.0,5.0,5.0,0.6479999974370003,0.6479999974370003,0.6479999974370003,2.0,2.0,2.0,2.0,2.0,2.0,0.6799999997019768,0.6799999997019768,0.6799999997019768,2.0,2.0,2.0,3.0,3.0,3.0,0.5649999970197678,0.5649999970197678,0.5649999970197678,2.0,2.0,2.0,5.0,5.0,5.0,0.6689999967813491,0.6689999967813491,0.6689999967813491,7.0,7.0,7.0,2.0,2.0,2.0,100.0
8.0,0.7249999955296517,0.7249999955296517,0.7249999955296517,2.0,2.0,2.0,3.0,3.0,3.0,0.6479999974370003,0.6479999974370003,0.6479999974370003,2.0,2.0,2.0,2.0,2.0,2.0,0.6389999979734421,0.6389999979734421,0.6389999979734421,2.0,2.0,2.0,3.0,3.0,3.0,0.6089999968111515,0.6089999968111515,0.6089999968111515,2.0,2.0,2.0,3.0,3.0,3.0,0.6419999942183494,0.6419999942183494,0.6419999942183494,1.0,1.0,1.0,3.0,3.0,3.0,100.0
9.0,0.7249999955296517,0.7249999955296517,0.7249999955296517,2.0,2.0,2.0,3.0,3.0,3.0,0.6479999974370003,0.6479999974370003,0.6479999974370003,2.0,2.0,2.0,2.0,2.0,2.0,0.6389999979734421,0.6389999979734421,0.6389999979734421,2.0,2.0,2.0,3.0,3.0,3.0,0.6089999968111515,0.6089999968111515,0.6089999968111515,2.0,2.0,2.0,3.0,3.0,3.0,0.6419999942183494,0.6419999942183494,0.6419999942183494,1.0,1.0,1.0,3.0,3.0,3.0,100.0
10.0,0.7249999955296517,0.7249999955296517,0.7249999955296517,2.0,2.0,2.0,3.0,3.0,3.0,0.6479999974370003,0.6479999974370003,0.6479999974370003,2.0,2.0,2.0,2.0,2.0,2.0,0.6389999979734421,0.6389999979734421,0.6389999979734421,2.0,2.0,2.0,3.0,3.0,3.0,0.6089999968111515,0.6089999968111515,0.6089999968111515,2.0,2.0,2.0,3.0,3.0,3.0,0.6419999942183494,0.6419999942183494,0.6419999942183494,1.0,1.0,1.0,3.0,3.0,3.0,100.0
