Timestamp: 21-feb-2017 11.39.45
A_identical_or_random: 0
A_size_of: 2
C_identical_or_random: 0
C_links_between_species: 2
C_neighbours_or_random: 1
Collect_data: 2
Data_collection_file_name: NKCoutput.txt
Fitness_method: 0
Fitness_method_averaging_weightings: 0
Fitness_range_dp: 2
Fitness_threshold: 0.0
K_identical_or_random: 0
K_neighbours_or_random: 0
K_size_of: 4
N_size_of: 8
Next_neighbour_method: 0
Organization_walk_order: 0
Organization_walk_type: 0
Organizations_no_of: 1
S_species: 5
Simulation_halt: 500
Stop_simulation_early: 1
X_identical_or_random: 0
X_neighbours_or_random: 0
X_species: 2
Xml_file: default_xml_file.xml


"tick","Average Fitness 0","Maximum Fitness 0","Minimum Fitness 0","Average Wait Before Move 0","Maximum Wait Before Move 0","Minimum Wait Before Move 0","Average Number of Fitter Neighbours 0","Maximum Number of Fitter Neighbours 0","Minimum Number of Fitter Neighbours 0","Average Fitness 1","Maximum Fitness 1","Minimum Fitness 1","Average Wait Before Move 1","Maximum Wait Before Move 1","Minimum Wait Before Move 1","Average Number of Fitter Neighbours 1","Maximum Number of Fitter Neighbours 1","Minimum Number of Fitter Neighbours 1","Average Fitness 2","Maximum Fitness 2","Minimum Fitness 2","Average Wait Before Move 2","Maximum Wait Before Move 2","Minimum Wait Before Move 2","Average Number of Fitter Neighbours 2","Maximum Number of Fitter Neighbours 2","Minimum Number of Fitter Neighbours 2","Average Fitness 3","Maximum Fitness 3","Minimum Fitness 3","Average Wait Before Move 3","Maximum Wait Before Move 3","Minimum Wait Before Move 3","Average Number of Fitter Neighbours 3","Maximum Number of Fitter Neighbours 3","Minimum Number of Fitter Neighbours 3","Average Fitness 4","Maximum Fitness 4","Minimum Fitness 4","Average Wait Before Move 4","Maximum Wait Before Move 4","Minimum Wait Before Move 4","Average Number of Fitter Neighbours 4","Maximum Number of Fitter Neighbours 4","Minimum Number of Fitter Neighbours 4","Fraction Still Walking"
1.0,0.4499999966472387,0.4499999966472387,0.4499999966472387,0.0,0.0,0.0,7.0,7.0,7.0,0.4499999966472387,0.4499999966472387,0.4499999966472387,0.0,0.0,0.0,7.0,7.0,7.0,0.4499999966472387,0.4499999966472387,0.4499999966472387,0.0,0.0,0.0,7.0,7.0,7.0,0.4499999966472387,0.4499999966472387,0.4499999966472387,0.0,0.0,0.0,7.0,7.0,7.0,0.4499999966472387,0.4499999966472387,0.4499999966472387,0.0,0.0,0.0,7.0,7.0,7.0,100.0
2.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999976158142,0.5429999976158142,0.5429999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999975487589,0.5429999975487589,0.5429999975487589,2.0,2.0,2.0,4.0,4.0,4.0,100.0
3.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999976158142,0.5429999976158142,0.5429999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999975487589,0.5429999975487589,0.5429999975487589,2.0,2.0,2.0,4.0,4.0,4.0,100.0
4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999976158142,0.5429999976158142,0.5429999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999975487589,0.5429999975487589,0.5429999975487589,2.0,2.0,2.0,4.0,4.0,4.0,100.0
5.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999976158142,0.5429999976158142,0.5429999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999975487589,0.5429999975487589,0.5429999975487589,2.0,2.0,2.0,4.0,4.0,4.0,100.0
6.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999976158142,0.5429999976158142,0.5429999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999975487589,0.5429999975487589,0.5429999975487589,2.0,2.0,2.0,4.0,4.0,4.0,100.0
7.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999958276749,0.5429999958276749,0.5429999958276749,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999976158142,0.5429999976158142,0.5429999976158142,2.0,2.0,2.0,4.0,4.0,4.0,0.5429999975487589,0.5429999975487589,0.5429999975487589,2.0,2.0,2.0,4.0,4.0,4.0,100.0
8.0,0.5520000022649765,0.5520000022649765,0.5520000022649765,6.0,6.0,6.0,3.0,3.0,3.0,0.5480000017881393,0.5480000017881393,0.5480000017881393,6.0,6.0,6.0,3.0,3.0,3.0,0.4559999995753169,0.4559999995753169,0.4559999995753169,6.0,6.0,6.0,5.0,5.0,5.0,0.5780000020191074,0.5780000020191074,0.5780000020191074,2.0,2.0,2.0,4.0,4.0,4.0,0.551999999396503,0.551999999396503,0.551999999396503,6.0,6.0,6.0,3.0,3.0,3.0,100.0
9.0,0.48900000035017727,0.48900000035017727,0.48900000035017727,1.0,1.0,1.0,3.0,3.0,3.0,0.5499999982118606,0.5499999982118606,0.5499999982118606,1.0,1.0,1.0,3.0,3.0,3.0,0.493000000372529,0.493000000372529,0.493000000372529,1.0,1.0,1.0,4.0,4.0,4.0,0.5429999986290931,0.5429999986290931,0.5429999986290931,2.0,2.0,2.0,5.0,5.0,5.0,0.457000002451241,0.457000002451241,0.457000002451241,1.0,1.0,1.0,3.0,3.0,3.0,100.0
10.0,0.4890000017359853,0.4890000017359853,0.4890000017359853,1.0,1.0,1.0,3.0,3.0,3.0,0.550999998524785,0.550999998524785,0.550999998524785,1.0,1.0,1.0,3.0,3.0,3.0,0.4860000013932586,0.4860000013932586,0.4860000013932586,1.0,1.0,1.0,4.0,4.0,4.0,0.5450000002980232,0.5450000002980232,0.5450000002980232,8.0,8.0,8.0,2.0,2.0,2.0,0.457000002451241,0.457000002451241,0.457000002451241,1.0,1.0,1.0,3.0,3.0,3.0,100.0
